Free carrying capacity: 1320
Free item capacity: 1
Price of items in knapsack: 9705

List of items in knapsack:
price: 45 weight: 20 coefficient: 2.25
price: 45 weight: 21 coefficient: 2.14286
price: 45 weight: 21 coefficient: 2.14286
price: 40 weight: 20 coefficient: 2
price: 40 weight: 21 coefficient: 1.90476
price: 40 weight: 21 coefficient: 1.90476
price: 45 weight: 24 coefficient: 1.875
price: 40 weight: 22 coefficient: 1.81818
price: 45 weight: 25 coefficient: 1.8
price: 45 weight: 25 coefficient: 1.8
price: 35 weight: 20 coefficient: 1.75
price: 45 weight: 26 coefficient: 1.73077
price: 45 weight: 26 coefficient: 1.73077
price: 45 weight: 26 coefficient: 1.73077
price: 45 weight: 27 coefficient: 1.66667
price: 45 weight: 27 coefficient: 1.66667
price: 40 weight: 24 coefficient: 1.66667
price: 45 weight: 28 coefficient: 1.60714
price: 40 weight: 25 coefficient: 1.6
price: 35 weight: 22 coefficient: 1.59091
price: 35 weight: 22 coefficient: 1.59091
price: 45 weight: 29 coefficient: 1.55172
price: 40 weight: 26 coefficient: 1.53846
price: 35 weight: 23 coefficient: 1.52174
price: 30 weight: 20 coefficient: 1.5
price: 30 weight: 20 coefficient: 1.5
price: 40 weight: 27 coefficient: 1.48148
price: 30 weight: 21 coefficient: 1.42857
price: 30 weight: 21 coefficient: 1.42857
price: 30 weight: 21 coefficient: 1.42857
price: 35 weight: 25 coefficient: 1.4
price: 40 weight: 29 coefficient: 1.37931
price: 30 weight: 22 coefficient: 1.36364
price: 30 weight: 22 coefficient: 1.36364
price: 45 weight: 33 coefficient: 1.36364
price: 45 weight: 33 coefficient: 1.36364
price: 35 weight: 26 coefficient: 1.34615
price: 35 weight: 26 coefficient: 1.34615
price: 35 weight: 26 coefficient: 1.34615
price: 35 weight: 26 coefficient: 1.34615
price: 40 weight: 30 coefficient: 1.33333
price: 30 weight: 23 coefficient: 1.30435
price: 30 weight: 24 coefficient: 1.25
price: 40 weight: 32 coefficient: 1.25
price: 45 weight: 37 coefficient: 1.21622
price: 40 weight: 33 coefficient: 1.21212
price: 35 weight: 29 coefficient: 1.2069
price: 30 weight: 25 coefficient: 1.2
price: 30 weight: 26 coefficient: 1.15385
price: 25 weight: 22 coefficient: 1.13636
price: 25 weight: 22 coefficient: 1.13636
price: 35 weight: 31 coefficient: 1.12903
price: 35 weight: 31 coefficient: 1.12903
price: 30 weight: 27 coefficient: 1.11111
price: 30 weight: 28 coefficient: 1.07143
price: 30 weight: 28 coefficient: 1.07143
price: 35 weight: 33 coefficient: 1.06061
price: 25 weight: 24 coefficient: 1.04167
price: 30 weight: 29 coefficient: 1.03448
price: 35 weight: 34 coefficient: 1.02941
price: 40 weight: 39 coefficient: 1.02564
price: 35 weight: 35 coefficient: 1
price: 40 weight: 40 coefficient: 1
price: 40 weight: 40 coefficient: 1
price: 40 weight: 40 coefficient: 1
price: 40 weight: 40 coefficient: 1
price: 20 weight: 20 coefficient: 1
price: 20 weight: 20 coefficient: 1
price: 30 weight: 30 coefficient: 1
price: 45 weight: 45 coefficient: 1
price: 45 weight: 45 coefficient: 1
price: 30 weight: 30 coefficient: 1
price: 45 weight: 46 coefficient: 0.978261
price: 45 weight: 46 coefficient: 0.978261
price: 45 weight: 46 coefficient: 0.978261
price: 35 weight: 36 coefficient: 0.972222
price: 30 weight: 31 coefficient: 0.967742
price: 45 weight: 47 coefficient: 0.957447
price: 45 weight: 47 coefficient: 0.957447
price: 20 weight: 21 coefficient: 0.952381
price: 20 weight: 21 coefficient: 0.952381
price: 30 weight: 32 coefficient: 0.9375
price: 30 weight: 32 coefficient: 0.9375
price: 45 weight: 48 coefficient: 0.9375
price: 40 weight: 43 coefficient: 0.930233
price: 40 weight: 43 coefficient: 0.930233
price: 35 weight: 38 coefficient: 0.921053
price: 35 weight: 38 coefficient: 0.921053
price: 45 weight: 49 coefficient: 0.918367
price: 40 weight: 44 coefficient: 0.909091
price: 20 weight: 22 coefficient: 0.909091
price: 30 weight: 33 coefficient: 0.909091
price: 30 weight: 34 coefficient: 0.882353
price: 40 weight: 46 coefficient: 0.869565
price: 40 weight: 46 coefficient: 0.869565
price: 40 weight: 46 coefficient: 0.869565
price: 35 weight: 41 coefficient: 0.853659
price: 45 weight: 54 coefficient: 0.833333
price: 20 weight: 24 coefficient: 0.833333
price: 35 weight: 42 coefficient: 0.833333
price: 40 weight: 49 coefficient: 0.816327
price: 25 weight: 31 coefficient: 0.806452
price: 45 weight: 56 coefficient: 0.803571
price: 45 weight: 56 coefficient: 0.803571
price: 30 weight: 38 coefficient: 0.789474
price: 30 weight: 38 coefficient: 0.789474
price: 45 weight: 57 coefficient: 0.789474
price: 40 weight: 51 coefficient: 0.784314
price: 35 weight: 45 coefficient: 0.777778
price: 45 weight: 58 coefficient: 0.775862
price: 20 weight: 26 coefficient: 0.769231
price: 20 weight: 26 coefficient: 0.769231
price: 45 weight: 59 coefficient: 0.762712
price: 35 weight: 46 coefficient: 0.76087
price: 40 weight: 53 coefficient: 0.754717
price: 15 weight: 20 coefficient: 0.75
price: 15 weight: 20 coefficient: 0.75
price: 30 weight: 40 coefficient: 0.75
price: 15 weight: 20 coefficient: 0.75
price: 35 weight: 47 coefficient: 0.744681
price: 20 weight: 27 coefficient: 0.740741
price: 40 weight: 54 coefficient: 0.740741
price: 45 weight: 61 coefficient: 0.737705
price: 25 weight: 34 coefficient: 0.735294
price: 30 weight: 41 coefficient: 0.731707
price: 15 weight: 21 coefficient: 0.714286
price: 40 weight: 57 coefficient: 0.701754
price: 40 weight: 57 coefficient: 0.701754
price: 40 weight: 57 coefficient: 0.701754
price: 30 weight: 43 coefficient: 0.697674
price: 30 weight: 43 coefficient: 0.697674
price: 30 weight: 43 coefficient: 0.697674
price: 25 weight: 36 coefficient: 0.694444
price: 40 weight: 58 coefficient: 0.689655
price: 40 weight: 58 coefficient: 0.689655
price: 40 weight: 58 coefficient: 0.689655
price: 40 weight: 58 coefficient: 0.689655
price: 20 weight: 29 coefficient: 0.689655
price: 30 weight: 44 coefficient: 0.681818
price: 30 weight: 44 coefficient: 0.681818
price: 25 weight: 37 coefficient: 0.675676
price: 45 weight: 67 coefficient: 0.671642
price: 45 weight: 67 coefficient: 0.671642
price: 40 weight: 60 coefficient: 0.666667
price: 20 weight: 30 coefficient: 0.666667
price: 35 weight: 53 coefficient: 0.660377
price: 40 weight: 61 coefficient: 0.655738
price: 15 weight: 23 coefficient: 0.652174
price: 30 weight: 46 coefficient: 0.652174
price: 15 weight: 23 coefficient: 0.652174
price: 45 weight: 69 coefficient: 0.652174
price: 15 weight: 23 coefficient: 0.652174
price: 15 weight: 23 coefficient: 0.652174
price: 45 weight: 69 coefficient: 0.652174
price: 30 weight: 46 coefficient: 0.652174
price: 45 weight: 69 coefficient: 0.652174
price: 35 weight: 54 coefficient: 0.648148
price: 40 weight: 62 coefficient: 0.645161
price: 20 weight: 31 coefficient: 0.645161
price: 45 weight: 70 coefficient: 0.642857
price: 45 weight: 70 coefficient: 0.642857
price: 45 weight: 70 coefficient: 0.642857
price: 45 weight: 70 coefficient: 0.642857
price: 25 weight: 39 coefficient: 0.641026
price: 35 weight: 55 coefficient: 0.636364
price: 40 weight: 63 coefficient: 0.634921
price: 45 weight: 72 coefficient: 0.625
price: 45 weight: 72 coefficient: 0.625
price: 15 weight: 24 coefficient: 0.625
price: 25 weight: 40 coefficient: 0.625
price: 45 weight: 73 coefficient: 0.616438
price: 40 weight: 65 coefficient: 0.615385
price: 40 weight: 65 coefficient: 0.615385
price: 35 weight: 57 coefficient: 0.614035
price: 35 weight: 57 coefficient: 0.614035
price: 25 weight: 41 coefficient: 0.609756
price: 25 weight: 41 coefficient: 0.609756
price: 45 weight: 74 coefficient: 0.608108
price: 40 weight: 66 coefficient: 0.606061
